frame_number,timestamp,left_foot_strike,right_foot_strike,forward_lean,head_forward
0,0.0,forefoot,heel,45.0,45.0
1,0.03333333333333333,heel,heel,45.0,45.0
2,0.06666666666666667,heel,heel,45.0,45.0
3,0.1,heel,heel,45.0,45.0
4,0.13333333333333333,heel,heel,45.0,45.0
5,0.16666666666666666,heel,heel,45.0,45.0
6,0.2,heel,heel,45.0,45.0
7,0.23333333333333334,heel,heel,45.0,45.0
8,0.26666666666666666,midfoot,heel,45.0,45.0
9,0.3,midfoot,midfoot,45.0,45.0
10,0.3333333333333333,midfoot,heel,45.0,45.0
11,0.36666666666666664,midfoot,heel,45.0,45.0
12,0.4,midfoot,heel,45.0,45.0
13,0.43333333333333335,midfoot,midfoot,45.0,45.0
14,0.4666666666666667,midfoot,midfoot,45.0,45.0
15,0.5,midfoot,midfoot,45.0,45.0
16,0.5333333333333333,heel,midfoot,45.0,45.0
17,0.5666666666666667,heel,forefoot,45.0,45.0
18,0.6,heel,heel,45.0,45.0
19,0.6333333333333333,midfoot,midfoot,45.0,45.0
20,0.6666666666666666,heel,heel,45.0,45.0
21,0.7,midfoot,midfoot,45.0,45.0
22,0.7333333333333333,midfoot,midfoot,45.0,45.0
23,0.7666666666666667,midfoot,midfoot,45.0,45.0
24,0.8,midfoot,heel,45.0,45.0
25,0.8333333333333334,heel,heel,45.0,45.0
26,0.8666666666666667,heel,heel,45.0,45.0
27,0.9,heel,heel,45.0,45.0
28,0.9333333333333333,heel,heel,45.0,45.0
29,0.9666666666666667,heel,heel,45.0,45.0
30,1.0,heel,heel,45.0,45.0
31,1.0333333333333334,heel,heel,45.0,45.0
32,1.0666666666666667,heel,heel,45.0,45.0
33,1.1,heel,heel,45.0,45.0
34,1.1333333333333333,heel,heel,45.0,45.0
35,1.1666666666666667,heel,heel,45.0,45.0
36,1.2,heel,heel,45.0,45.0
37,1.2333333333333334,heel,heel,45.0,45.0
38,1.2666666666666666,heel,heel,45.0,45.0
39,1.3,heel,forefoot,45.0,45.0
40,1.3333333333333333,heel,midfoot,45.0,45.0
41,1.3666666666666667,heel,heel,45.0,45.0
42,1.4,heel,heel,45.0,45.0
43,1.4333333333333333,heel,heel,45.0,45.0
44,1.4666666666666666,midfoot,midfoot,45.0,45.0
45,1.5,midfoot,midfoot,45.0,45.0
46,1.5333333333333334,midfoot,midfoot,45.0,45.0
47,1.5666666666666667,midfoot,midfoot,45.0,45.0
48,1.6,midfoot,midfoot,45.0,45.0
49,1.6333333333333333,midfoot,midfoot,45.0,45.0
50,1.6666666666666667,midfoot,midfoot,45.0,45.0
51,1.7,midfoot,midfoot,45.0,45.0
52,1.7333333333333334,midfoot,heel,45.0,45.0
53,1.7666666666666666,midfoot,heel,45.0,45.0
54,1.8,midfoot,midfoot,45.0,45.0
55,1.8333333333333333,midfoot,midfoot,45.0,45.0
56,1.8666666666666667,midfoot,midfoot,45.0,45.0
57,1.9,midfoot,midfoot,45.0,45.0
58,1.9333333333333333,heel,heel,45.0,45.0
59,1.9666666666666666,forefoot,heel,45.0,45.0
60,2.0,heel,heel,45.0,45.0
61,2.033333333333333,midfoot,heel,45.0,45.0
62,2.066666666666667,midfoot,midfoot,45.0,45.0
63,2.1,midfoot,midfoot,45.0,45.0
64,2.1333333333333333,midfoot,midfoot,45.0,45.0
65,2.1666666666666665,midfoot,midfoot,45.0,45.0
66,2.2,midfoot,midfoot,45.0,45.0
67,2.2333333333333334,heel,midfoot,45.0,45.0
68,2.2666666666666666,heel,midfoot,45.0,45.0
69,2.3,heel,midfoot,45.0,45.0
70,2.3333333333333335,midfoot,midfoot,45.0,45.0
71,2.3666666666666667,midfoot,midfoot,45.0,45.0
72,2.4,midfoot,midfoot,45.0,45.0
73,2.433333333333333,midfoot,midfoot,45.0,45.0
74,2.466666666666667,midfoot,midfoot,45.0,45.0
75,2.5,midfoot,midfoot,45.0,45.0
76,2.533333333333333,midfoot,midfoot,45.0,45.0
77,2.566666666666667,midfoot,midfoot,45.0,45.0
78,2.6,midfoot,midfoot,45.0,45.0
79,2.6333333333333333,midfoot,midfoot,45.0,45.0
80,2.6666666666666665,midfoot,midfoot,45.0,45.0
81,2.7,midfoot,midfoot,45.0,45.0
82,2.7333333333333334,midfoot,midfoot,45.0,45.0
83,2.7666666666666666,midfoot,midfoot,45.0,45.0
84,2.8,midfoot,midfoot,45.0,45.0
85,2.8333333333333335,midfoot,midfoot,45.0,45.0
86,2.8666666666666667,midfoot,midfoot,45.0,45.0
87,2.9,midfoot,midfoot,45.0,45.0
88,2.933333333333333,midfoot,midfoot,45.0,45.0
89,2.966666666666667,midfoot,midfoot,45.0,45.0
90,3.0,midfoot,midfoot,45.0,45.0
91,3.033333333333333,midfoot,midfoot,45.0,45.0
92,3.066666666666667,midfoot,midfoot,45.0,45.0
93,3.1,midfoot,midfoot,11.059207268511182,45.0
94,3.1333333333333333,midfoot,midfoot,10.054908146596196,45.0
95,3.1666666666666665,midfoot,midfoot,10.054908146596196,45.0
96,3.2,midfoot,midfoot,9.280497940193372,45.0
97,3.2333333333333334,midfoot,midfoot,8.864279777158973,45.0
98,3.2666666666666666,midfoot,midfoot,8.864279777158973,45.0
99,3.3,midfoot,midfoot,7.364531665581611,45.0
100,3.3333333333333335,midfoot,midfoot,5.633830735032731,45.0
101,3.3666666666666667,midfoot,midfoot,2.463752676408345,45.0
102,3.4,midfoot,midfoot,1.3230226865949193,45.0
103,3.433333333333333,midfoot,midfoot,1.3230226865949193,45.0
104,3.466666666666667,midfoot,midfoot,1.3230226865949193,45.0
105,3.5,midfoot,midfoot,2.1401404227121996,45.0
106,3.533333333333333,midfoot,midfoot,2.919173718080501,45.0
107,3.566666666666667,midfoot,midfoot,4.8406981828656095,45.0
